0000|LCDPR|0013|||0|0||30062025|31072025
0010|1
0030|||||||||
0040|001|BR|BRL|92146899|9510644096859|294186832|FAZENDA FRUTACC|LOTE 2D LOTEAMENTO VARJAO|||ZONA RURAL|TO|1711902|77493000|1|100.0||
0040|002|BR|BRL|91218195|9510304204681|294904093|FAZENDA UNIÃO|FORMOSO, LT03, LOTEAMENTO RIO XAVANTE|||ZONA RURAL|TO|1708205|77470000|1|100.0||
0040|003|BR|BRL|47452293|42276950100582|295057386|FAZENDA L3|ZONA RURAL SN|||ZONA RURAL|TO|1707306|77485000|1|100.0||
0040|004|BR|BRL|10672273|9500337751771|112877672|FAZENDA PRIMAVERA|Rod Go 142 Km 50 A Esq 05 Km|||ZONA RURAL|GO|5221452|76460000|1|100.0||
0040|005|BR|BRL|48397083|9500413085956|111739837|FAZENDA ALIANÇA|Margem Esquerda Do Rio Das Almas|||ZONA RURAL|GO|5214861|76305000|1|100.0||
0040|006|BR|BRL|58181490|0000193966993|115149210|ARMAZEM PRIMAVERA|Rod. Go 142 Km 47 A Esq. 20 Km|||ZONA RURAL|GO|5213772|76465000|1|100.0||
0040|007|BR|BRL|16540859|9261830071106|115449965|FAZENDA ESTRELA|M Do Norte Go 142 Sent Mata Azul 15km Vira Esq 31km|||ZONA RURAL|GO|5213772|76465000|1|100.0||
0040|008|BR|BRL|74678981|9261830003020|114436720|FAZENDA BARRAGEM GRANDE|RODOVIA GO 142, KM 50|||ZONA RURAL|GO|5213772|76465000|1|100.0||
0040|009|BR|BRL|26817713|9999895496227|128477750|FAZENDA GUARA|OTR DATA SAO PEDRO|||ZONA RURAL|MA|2101400|65800000|1|100.0||
0050|001|BR|184|BCO ITAÚ BBA S.A.|8541|00000000063206 6|0.00
0050|002|BR|756|BANCO COOPERATIVO SICOOB S.A.|3349|00000000000052 3|0.00
0050|003|BR|237|BCO BRADESCO S.A.|0242|00000000022102 3|0.00
0050|004|BR|001|BCO DO BRASIL S.A.|0458|0000000000245852|0.00
0100|00174715161|VILMA LINO DE SOUSA OLIVEIRA|2
0100|00394460005887|MINISTERIO DA PREVIDENCIA SOCIAL (INSS)|1
0100|00970771001264|MAQCAMPO SOLUCOES AGRICOLAS S/A|1
0100|00970771001507|MAQCAMPO SOLUÇOES AGRICOLAS S/A|1
0100|01377555000110|CHESP|1
0100|01525526189|DAYANNE GAMA MACIEL|2
0100|01543032000104|EQUATORIAL GOIAS DISTRIBUIDORA|1
0100|001608488001250|HOHL MAQUINAS AGRICOLAS LTDA|1
0100|01785622544|ADAO PEREIRA BERNARDO|2
0100|01834300000139|JOSE DE F. ALMEIDA - AUTO MECANICA|1
0100|01976860000470|PNEUS VIA NOBRE LTDA|1
0100|02019160374|RISLEY REZENDE DA SILVA|2
0100|02114061000105|AIDSON NOGUEIRA DA CUNHA - TURBINAS|1
0100|02285741103|KASSIO DE PAIVA MARTINS|2
0100|02285742185|FABRICIO DE PAIVA MARTINS|2
0100|02391971000216|ARAGUAIA COM. DE MOTOS DE URUACU LTDA|1
0100|02470406145|RAFAEL NOVAIS SILVA|2
0100|02526729173|SAMUEL PINTO CARDOSO|2
0100|02739977000150|IBRAIM PECAS E ACESSORIOS PARA VEICULOS LTDA|1
0100|02765312000111|PERFUGEL-PERFURACOES GEOLOGICAS LTDA|1
0100|03159338100|ROBERTO RODRIGUES DOS SANTOS|2
0100|03261616199|ROGERIS MANOEL PIMENTEL|2
0100|03441188195|LEANDRO FRAGOSO DA SILVA|2
0100|04154234145|SAIMON DANIEL ALVES|2
0100|04421407119|GUSTAVO GOMES LIMA|2
0100|04503101161|SUELLEN VENANCIO DIAS|2
0100|04880535000155|RB COMERCIO DE PEÇAS E SERVIÇOS MECANICOS LTDA|1
0100|04883431193|JOAO PAULO SANTOS SENA|2
0100|04905469198|LUIZ FELIPE ALVES CABRAL|2
0100|05035761150|RAIMUNDO NONATO DE LIMA SANTOS FILHO|2
0100|05151805000150|EDUARDO MULLER HUNGRIA PINTO E CIA LTDA|1
0100|05365281101|DIEGO DE LUCENA FELIX|2
0100|05569343180|IRAILTON BARBOSA DOS SANTOS|2
